AnalysisTier,Family,Endpoint,EndpointLabel,Predictor,Contrast,ContrastLabel,QCSensitivityRule,ModelFormula,CovariatesIncluded,N,NExcluded,Estimate,SE,T,ParametricP,PermutationP,CI95_Low,CI95_High,HC3_SE,HC3_T,HC3_P,HC3_CI95_Low,HC3_CI95_High,DF,R2,NPermutations,RandomSeed,HolmP,HolmReject,FDR_BH_Q,Status
PrimaryClinicalStageOmnibus,PrimaryClinicalStage,RLocked100to200FieldScore_LOSO_uV,"Primary 100-200 ms distributed field score, four-level ClinicalStage omnibus",ClinicalStage,ClinicalStageOmnibus,,,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,NaN,NaN,4.09110536701383,0.0101434964371158,0.00984990150098499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,0.196202888223984,100000,13,NaN,0,NaN,OK
PrimaryPlannedContrast,PrimaryClinicalStagePlannedContrasts,RLocked100to200FieldScore_LOSO_uV,"Primary 100-200 ms distributed field score, planned ClinicalStage contrast",ClinicalStageContrast,BD_Depressed_vs_HC,BD Depressed - HC,,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,-0.240976115813666,0.0803266064591335,-2.99995389368607,0.00384450106430333,0.003479965200348,-0.401446959567785,-0.0805052720595472,0.0833230887078146,-2.89206892772166,0.00522356262924519,-0.407433121014612,-0.0745191106127203,64,0.196202888223984,100000,24,0.01739982600174,1,NaN,OK
PrimaryPlannedContrast,PrimaryClinicalStagePlannedContrasts,RLocked100to200FieldScore_LOSO_uV,"Primary 100-200 ms distributed field score, planned ClinicalStage contrast",ClinicalStageContrast,BD_Depressed_vs_BD_Euthymic,BD Depressed - BD Euthymic,,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,-0.197807999269342,0.0748817436581108,-2.6416051444058,0.010358751827791,0.01029989700103,-0.347401479142166,-0.0482145193965171,0.0763789072397633,-2.58982494536609,0.0118759961469553,-0.350392407226598,-0.0452235913120856,64,0.196202888223984,100000,25,0.04119958800412,1,NaN,OK
PrimaryPlannedContrast,PrimaryClinicalStagePlannedContrasts,RLocked100to200FieldScore_LOSO_uV,"Primary 100-200 ms distributed field score, planned ClinicalStage contrast",ClinicalStageContrast,BD_Depressed_vs_Siblings,BD Depressed - Siblings,,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,-0.0725250506265536,0.0807534136605078,-0.898105074931609,0.372495903444397,0.372076279237208,-0.233848539783534,0.0887984385304272,0.0745491919331274,-0.972848246183681,0.334291390521388,-0.221454182056784,0.0764040808036772,64,0.196202888223984,100000,26,0.744152558474415,0,NaN,OK
PrimaryPlannedContrast,PrimaryClinicalStagePlannedContrasts,RLocked100to200FieldScore_LOSO_uV,"Primary 100-200 ms distributed field score, planned ClinicalStage contrast",ClinicalStageContrast,Siblings_vs_HC,Siblings - HC,,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,-0.168451065187113,0.0892064924079534,-1.88832741474424,0.063516102448942,0.0644993550064499,-0.346661520428148,0.00975939005392312,0.0845351029841869,-1.99267593272611,0.0505651249989179,-0.337329347249424,0.000427216875198783,64,0.196202888223984,100000,27,0.19349806501935,0,NaN,OK
PrimaryPlannedContrast,PrimaryClinicalStagePlannedContrasts,RLocked100to200FieldScore_LOSO_uV,"Primary 100-200 ms distributed field score, planned ClinicalStage contrast",ClinicalStageContrast,BD_Euthymic_vs_HC,BD Euthymic - HC,,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,-0.0431681165443243,0.0852785999965143,-0.506201046289324,0.614454857115835,0.613013869861301,-0.213531704636059,0.12719547154741,0.0953917069232691,-0.452535319229037,0.652413666141708,-0.233734958240922,0.147398725152274,64,0.196202888223984,100000,28,0.744152558474415,0,NaN,OK
SupportiveOrdinalTrend,OrdinalClinicalStageTrend,RLocked100to200FieldScore_LOSO_uV,"Supportive ordinal clinical-stage trend for the primary 100-200 ms field score",RiskGradient,HC_to_Siblings_to_BD_Euthymic_to_BD_Depressed,,,RLocked100to200FieldScore_LOSO_uV ~ RiskGradient + Age + Sex,Age|Sex,70,NaN,-0.0632516401712784,0.0261272420118393,-2.42090765426434,0.0182400312288655,0.018019819801802,-0.115416361937473,-0.0110869184050843,0.0264489838746051,-2.39145823034847,0.0196398622528387,-0.116058740292758,-0.0104445400497985,66,0.120185691572431,100000,43,NaN,0,NaN,OK
PrimarySensitivity,ArtifactControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for peri-R CFA score: ClinicalStage omnibus for primary 100-200 ms field score",ClinicalStage,ClinicalStageOmnibus,,CFA_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + CFAScore_LOSO_uV,Age|Sex|CFAScore_LOSO_uV,70,NaN,NaN,NaN,3.83671304851211,0.0137542849740889,0.013309866901331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,0.243143046882095,100000,114,NaN,0,NaN,OK
PrimarySensitivity,ArtifactControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for peri-R CFA score: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_HC,BD Depressed - HC,CFA_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + CFAScore_LOSO_uV,Age|Sex|CFAScore_LOSO_uV,70,NaN,-0.230047735812885,0.0787563457949833,-2.92100571059683,0.00483724992816974,0.004539954600454,-0.387429734595784,-0.0726657370299867,0.0830452133303363,-2.77015045885672,0.00735367080046387,-0.39600035247318,-0.0640951191525899,63,0.243143046882095,100000,215,NaN,0,NaN,OK
PrimarySensitivity,ArtifactControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for peri-R CFA score: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_BD_Euthymic,BD Depressed - BD Euthymic,CFA_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + CFAScore_LOSO_uV,Age|Sex|CFAScore_LOSO_uV,70,NaN,-0.189013197665772,0.0733718242911439,-2.57610056028804,0.0123489580329601,0.011959880401196,-0.335635088825473,-0.0423913065060701,0.0769390559221333,-2.45666125481269,0.0167906077896994,-0.342763632418241,-0.0352627629133017,63,0.243143046882095,100000,216,NaN,0,NaN,OK
PrimarySensitivity,ArtifactControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for peri-R CFA score: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_Siblings,BD Depressed - Siblings,CFA_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + CFAScore_LOSO_uV,Age|Sex|CFAScore_LOSO_uV,70,NaN,-0.0734321604706898,0.0789808158127368,-0.929746796295409,0.356051128120137,0.357816421835782,-0.231262726790645,0.0843984058492658,0.0744164456851854,-0.986773283708557,0.327528523614339,-0.222141560913689,0.0752772399723091,63,0.243143046882095,100000,217,NaN,0,NaN,OK
PrimarySensitivity,PhysiologyControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for mean heart rate: ClinicalStage omnibus for primary 100-200 ms field score",ClinicalStage,ClinicalStageOmnibus,,MeanHR_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + Rest_MeanHR_BPM,Age|Sex|Rest_MeanHR_BPM,70,NaN,NaN,NaN,3.99345818849922,0.0114427707941698,0.011839881601184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,0.198137552796664,100000,123,NaN,0,NaN,OK
PrimarySensitivity,PhysiologyControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for mean heart rate: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_HC,BD Depressed - HC,MeanHR_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + Rest_MeanHR_BPM,Age|Sex|Rest_MeanHR_BPM,70,NaN,-0.237360311698645,0.0813942153821302,-2.91618158101634,0.0049035032450377,0.004569954300457,-0.400013672223421,-0.0747069511738684,0.0832792750519064,-2.85017264560363,0.00589856112931619,-0.403780663386606,-0.0709399600106838,63,0.198137552796664,100000,224,NaN,0,NaN,OK
PrimarySensitivity,PhysiologyControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for mean heart rate: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_BD_Euthymic,BD Depressed - BD Euthymic,MeanHR_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + Rest_MeanHR_BPM,Age|Sex|Rest_MeanHR_BPM,70,NaN,-0.197623629339779,0.0753843029089105,-2.6215488067665,0.010960200242394,0.011169888301117,-0.348267138112319,-0.0469801205672383,0.0781415362567514,-2.52904714709527,0.0139531533403802,-0.3537770292965,-0.0414702293830576,63,0.198137552796664,100000,225,NaN,0,NaN,OK
PrimarySensitivity,PhysiologyControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for mean heart rate: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_Siblings,BD Depressed - Siblings,MeanHR_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + Rest_MeanHR_BPM,Age|Sex|Rest_MeanHR_BPM,70,NaN,-0.0676898894897398,0.0822343329501336,-0.823134171110582,0.413536705729932,0.409235907640924,-0.232022091011141,0.0966423120316618,0.0774033095862319,-0.874508982259076,0.385162793991262,-0.222368061161192,0.086988282181712,63,0.198137552796664,100000,226,NaN,0,NaN,OK
PrimarySensitivity,PhysiologyControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for lnRMSSD: ClinicalStage omnibus for primary 100-200 ms field score",ClinicalStage,ClinicalStageOmnibus,,lnRMSSD_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + Rest_lnRMSSD,Age|Sex|Rest_lnRMSSD,70,NaN,NaN,NaN,4.00613397769595,0.0112741001351273,0.010869891301087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,0.200377274094448,100000,133,NaN,0,NaN,OK
PrimarySensitivity,PhysiologyControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for lnRMSSD: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_HC,BD Depressed - HC,lnRMSSD_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + Rest_lnRMSSD,Age|Sex|Rest_lnRMSSD,70,NaN,-0.232675833758606,0.0820379098923875,-2.83619894831325,0.00613180190204242,0.00592994070059299,-0.396615515120228,-0.0687361523969847,0.08079051717349,-2.87998940839748,0.00542800155464153,-0.39412279967761,-0.0712288678396026,63,0.200377274094448,100000,234,NaN,0,NaN,OK
PrimarySensitivity,PhysiologyControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for lnRMSSD: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_BD_Euthymic,BD Depressed - BD Euthymic,lnRMSSD_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + Rest_lnRMSSD,Age|Sex|Rest_lnRMSSD,70,NaN,-0.199415038332838,0.0753296068880789,-2.64723322702479,0.0102397210796106,0.010209897901021,-0.349949245829436,-0.0488808308362396,0.0795955702417248,-2.50535347290347,0.014830261661031,-0.358474093351934,-0.0403559833137412,63,0.200377274094448,100000,235,NaN,0,NaN,OK
PrimarySensitivity,PhysiologyControl,RLocked100to200FieldScore_LOSO_uV,"Adjusted for lnRMSSD: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_Siblings,BD Depressed - Siblings,lnRMSSD_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + Rest_lnRMSSD,Age|Sex|Rest_lnRMSSD,70,NaN,-0.0612890040937342,0.08351098822716,-0.733903470607014,0.465730167020879,0.465635343646564,-0.228172397614041,0.105594389426572,0.0769538233443704,-0.79643871389553,0.428768188585327,-0.215068949184769,0.0924909409973006,63,0.200377274094448,100000,236,NaN,0,NaN,OK
PostHocSensitivity,SmokingControl,RLocked100to200FieldScore_LOSO_uV,"Post hoc adjustment for cigarettes per day: ClinicalStage omnibus for primary 100-200 ms field score",ClinicalStage,ClinicalStageOmnibus,,CigsPerDay_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + CigsPerDay,Age|Sex|CigsPerDay,70,NaN,NaN,NaN,4.1731734595108,0.00927417868215685,0.00843991560084399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,0.200865955494504,100000,143,NaN,0,NaN,OK
PostHocSensitivity,SmokingControl,RLocked100to200FieldScore_LOSO_uV,"Post hoc adjustment for cigarettes per day: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_HC,BD Depressed - HC,CigsPerDay_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + CigsPerDay,Age|Sex|CigsPerDay,70,NaN,-0.250619486482335,0.0822783304166435,-3.04599625701251,0.00338439663892462,0.003239967600324,-0.415039609924831,-0.0861993630398383,0.086621983940615,-2.89325498079276,0.00523001114149074,-0.423719708864447,-0.0775192641002229,63,0.200865955494504,100000,244,NaN,0,NaN,OK
PostHocSensitivity,SmokingControl,RLocked100to200FieldScore_LOSO_uV,"Post hoc adjustment for cigarettes per day: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_BD_Euthymic,BD Depressed - BD Euthymic,CigsPerDay_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + CigsPerDay,Age|Sex|CigsPerDay,70,NaN,-0.200684748570432,0.0754038854938615,-2.66146429001685,0.00985936574046299,0.00947990520094799,-0.351367390016407,-0.0500021071244562,0.0768581893070769,-2.6111042997464,0.0112661492936944,-0.354273584287498,-0.0470959128533653,63,0.200865955494504,100000,245,NaN,0,NaN,OK
PostHocSensitivity,SmokingControl,RLocked100to200FieldScore_LOSO_uV,"Post hoc adjustment for cigarettes per day: planned ClinicalStage contrast for primary 100-200 ms field score",ClinicalStageContrast,BD_Depressed_vs_Siblings,BD Depressed - Siblings,CigsPerDay_adjustment,RLocked100to200FieldScore_LOSO_uV ~ ClinicalStage + Age + Sex + CigsPerDay,Age|Sex|CigsPerDay,70,NaN,-0.0744382521748118,0.0812166802306783,-0.91653896666776,0.362879533394029,0.362456375436246,-0.236736837008719,0.0878603326590958,0.0744502272286291,-0.999839153562546,0.321213264338214,-0.223215159645663,0.0743386552960397,63,0.200865955494504,100000,246,NaN,0,NaN,OK
